word,phonetic,pos,meaning,example,exampleCn,category,level,list
and,ænd,conj.,"conj. 和, 与\n[计] 与","Students often meet the word ""and"" in reading and daily communication.",这个例句展示了“and”在日常交流中的常见用法。,daily,,
have,hæv,aux.,"vt. 有, 怀有, 拿, 进行\naux. 已经",Have a feeling.,这个例句展示了“have”在日常交流中的常见用法。,daily,,
for,fɒ:,prep.,"prep. 为, 因为, 至于\nconj. 因为\n[计] DOS批处理命令:对一组参数重复执行指定的命令","Students often meet the word ""for"" in reading and daily communication.",这个例句展示了“for”在日常交流中的常见用法。,daily,,
that,ðæt,conj.,"a. 那, 那个\nconj. 以致, 因为\npron. 那\nadv. 那么, 那样","Students often meet the word ""that"" in reading and daily communication.",这个例句展示了“that”在日常交流中的常见用法。,daily,,
not,nɒt,adv.,"adv. 不, 非, 未\n[计] 非",He does not speak French.,这个例句展示了“not”在日常交流中的常见用法。,daily,,
you,ju:,pron.,"pron. 你, 你们","Students often meet the word ""you"" in reading and daily communication.",这个例句展示了“you”在日常交流中的常见用法。,daily,,
with,wið,prep.,"prep. 和...在一起, 以, 由于","Students often meet the word ""with"" in reading and daily communication.",这个例句展示了“with”在日常交流中的常见用法。,daily,,
they,ðei,pron.,"pron. 他们, 它们","Students often meet the word ""they"" in reading and daily communication.",这个例句展示了“they”在日常交流中的常见用法。,daily,,
say,sei,v.,"vt. 说, 讲, 念, 说明, 指明\nvi. 说, 讲\nn. 意见, 发言权",Let him have his say.,这个例句展示了“say”在日常交流中的常见用法。,daily,,
this,θis,pron.,"pron. 这, 本\na. 这, 本\nadv. 这么","Students often meet the word ""this"" in reading and daily communication.",这个例句展示了“this”在日常交流中的常见用法。,daily,,
she,ʃi:,pron.,pron. 她,"Students often meet the word ""she"" in reading and daily communication.",这个例句展示了“she”在日常交流中的常见用法。,daily,,
but,bʌt,prep.,prep. 除了\nconj. 但是\nadv. 仅仅,Hopes that last but a moment.,这个例句展示了“but”在日常交流中的常见用法。,daily,,
his,hiz,pron.,pron. 他的\n[化] 组氨酸,"Students often meet the word ""his"" in reading and daily communication.",这个例句展示了“his”在日常交流中的常见用法。,daily,,
from,frɒm,prep.,"prep. 从, 来自, 根据","Students often meet the word ""from"" in reading and daily communication.",这个例句展示了“from”在日常交流中的常见用法。,daily,,
which,hwitʃ,pron.,"pron. 哪一个, 那一个","Students often meet the word ""which"" in reading and daily communication.",这个例句展示了“which”在日常交流中的常见用法。,daily,,
will,wil,aux.,"n. 意志, 决心, 意愿, 意向, 干劲, 遗嘱\nvt. 用意志的力量驱使, 决意, 愿意, 立遗嘱\nvi. 下决心, 愿意\naux. 将, 愿意, 必须",Where there's a will there's a way.,这个例句展示了“will”在日常交流中的常见用法。,daily,,
what,hwɒt,pron.,"pron. 什么\ninterj. 怎么, 多么\na. 什么的\nadv. 到什么程度","Students often meet the word ""what"" in reading and daily communication.",这个例句展示了“what”在日常交流中的常见用法。,daily,,
would,wud,aux.,"aux. 将, 愿意","Students often meet the word ""would"" in reading and daily communication.",这个例句展示了“would”在日常交流中的常见用法。,daily,,
their,ðєә,pron.,pron. 他们的,"Students often meet the word ""their"" in reading and daily communication.",这个例句展示了“their”在日常交流中的常见用法。,daily,,
there,ðєә,adv.,adv. 在那里,You can take it from there.,这个例句展示了“there”在日常交流中的常见用法。,daily,,
who,hu:,pron.,pron. 谁,"Students often meet the word ""who"" in reading and daily communication.",这个例句展示了“who”在日常交流中的常见用法。,daily,,
all,ɒ:l,pron.,"a. 所有的, 全部的, 一切的\nadv. 全部, 全然\npron. 全部\nn. 全部",We sat up all night.,这个例句展示了“all”在日常交流中的常见用法。,daily,,
get,get,v.,"vt. 得到, 获得, 变成, 使得, 收获, 接通, 抓住, 染上\nvi. 到达, 成为, 变得\nn. (网球等)救球, 生殖, 幼兽\n[计] 取得指令, 获取文件",Get your results the next day.,这个例句展示了“get”在日常交流中的常见用法。,daily,,
her,hә:,pron.,"pron. 她的, 她","Students often meet the word ""her"" in reading and daily communication.",这个例句展示了“her”在日常交流中的常见用法。,daily,,
make,meik,v.,"vt. 制造, 安排, 创造, 构成, 使得, 产生, 造成, 整理, 布置, 引起, 到达, 进行\nvi. 开始, 前进, 增大, 被制造, 被处理\nn. 制造, 构造, 性情",What make of car is that?,这个例句展示了“make”在日常交流中的常见用法。,daily,,
about,ә'baut,prep.,"prep. 在...周围, 大约, 有关, 关于\nadv. 大约, 四处, 在附近, 周围",Up and about.,这个例句展示了“about”在日常交流中的常见用法。,daily,,
one,wʌn,pron.,"n. 一(个)\npron. 一, 任何人\nnum. 一, 一个\na. 一致的, 完整的",He has the one but will need a two and three to go with it.,这个例句展示了“one”在日常交流中的常见用法。,daily,,
see,si:,v.,"vt. 看见, 查看, 参观, 游览, 理解, 知道, 同意\nvi. 看, 观看, 注意, 知道, 考虑\nn. 主教的职位",You have to be a good observer to see all the details.,这个例句展示了“see”在日常交流中的常见用法。,daily,,
know,nәu,v.,"v. 知道, 了解, 认识, 确信",He is always in the know.,这个例句展示了“know”在日常交流中的常见用法。,daily,,
time,taim,v.,"n. 时间, 时侯, 时机, 时期, 期限, 次数, 节拍, 暂停, 规定时间\nvt. 测定...的时间, 记录...的时间, 计时, 定时\na. 时间的, 记时的, 定时的, 定期的, 分期的\n[计] DOS内部命令:用于显示或设定",This time he succeeded.,这个例句展示了“time”在日常交流中的常见用法。,daily,,
