word,meaning,example,exampleCn,category
daunt,使气馁,The complexity of the project did not daunt her.,这个项目的复杂性并没有吓倒她。,toefl
dearth,缺乏,There is a dearth of nurses in remote villages.,偏远村庄缺乏护士。,toefl
debilitate,使衰弱,Chronic stress can debilitate the immune system.,慢性压力会削弱免疫系统。,toefl
debunk,揭穿,The investigation debunked several myths about the outbreak.,调查揭穿了关于此次疫情的几个谣言。,toefl
decentralize,分散权力,The reform seeks to decentralize decision making.,这项改革旨在分散决策权。,toefl
decipher,破译,Scientists are still trying to decipher the symbols.,科学家仍在试图破译这些符号。,toefl
decrement,减少量,A small decrement in quality can hurt trust.,质量略有下降就可能损害信任。,toefl
deduce,推断,From the data we can deduce a clear trend.,我们可以从数据中推断出一个清晰趋势。,toefl
deference,敬重,He spoke with deference to senior scholars.,他对资深学者说话时很恭敬。,toefl
deflect,偏转,The spokesperson tried to deflect the criticism.,发言人试图转移批评。,toefl
delineate,描绘,The report delineates the causes of inequality.,报告清晰描绘了不平等的成因。,toefl
demarcate,划定界限,Fences demarcate the border between farms.,栅栏划定了农场之间的边界。,toefl
demean,贬低,Such jokes demean people in the workplace.,这种玩笑会贬低职场中的他人。,toefl
demographic,人口统计的,Demographic changes are reshaping the labor market.,人口结构变化正在重塑劳动力市场。,toefl
denounce,谴责,Several groups denounced the policy as discriminatory.,多个团体谴责这项政策具有歧视性。,toefl
depose,罢免,The rebels planned to depose the ruler.,叛军计划罢免这位统治者。,toefl
deprive,剥夺,Lack of sleep can deprive students of focus.,缺乏睡眠会让学生失去专注力。,toefl
deride,嘲笑,Critics derided the plan as unrealistic.,批评者嘲讽该计划不切实际。,toefl
desolate,荒凉的,The abandoned town looked desolate in winter.,这个被遗弃的小镇在冬天显得很荒凉。,toefl
despise,鄙视,She despises corruption in public office.,她鄙视公职领域的腐败。,toefl
destabilize,使不稳定,Rising prices may destabilize the region.,物价上涨可能会使该地区不稳定。,toefl
deteriorate,恶化,Air quality can deteriorate rapidly during fires.,火灾期间空气质量会迅速恶化。,toefl
detain,拘留,Police may detain suspects for questioning.,警方可以拘留嫌疑人进行问询。,toefl
deter,阻止,Higher fines can deter illegal dumping.,更高的罚款可以遏制非法倾倒。,toefl
detract,减损,Loud music can detract from the speaker's message.,嘈杂的音乐会削弱演讲内容的效果。,toefl
devise,设计,Engineers devised a cheaper cooling system.,工程师设计出了一种更便宜的冷却系统。,toefl
devolve,移交,Responsibilities will devolve to local authorities.,职责将下放给地方当局。,toefl
diagnose,诊断,Doctors quickly diagnosed the rare infection.,医生很快诊断出了这种罕见感染。,toefl
