word,meaning,category
daunt,使气馁,toefl
dearth,缺乏,toefl
debilitate,使衰弱,toefl
debunk,揭穿,toefl
decentralize,分散权力,toefl
decipher,破译,toefl
decrement,减少量,toefl
deduce,推断,toefl
deference,敬重,toefl
deflect,偏转,toefl
delineate,描绘,toefl
demarcate,划定界限,toefl
demean,贬低,toefl
demographic,人口统计的,toefl
denounce,谴责,toefl
depose,罢免,toefl
deprive,剥夺,toefl
deride,嘲笑,toefl
desolate,荒凉的,toefl
despise,鄙视,toefl
destabilize,使不稳定,toefl
deteriorate,恶化,toefl
detain,拘留,toefl
deter,阻止,toefl
detract,减损,toefl
devise,设计,toefl
devolve,移交,toefl
diagnose,诊断,toefl
dictate,口述命令,toefl
dilute,稀释,toefl
diminish,减少,toefl
diplomacy,外交手腕,toefl
disarray,混乱,toefl
discern,识别,toefl
disclaim,否认,toefl
disclose,透露,toefl
discompose,使不安,toefl
discord,不和,toefl
discreet,谨慎的,toefl
discriminate,区分,toefl
disdain,轻视,toefl
disintegrate,解体,toefl
dismal,阴沉的,toefl
dismantle,拆除,toefl
dispel,驱散,toefl
disperse,分散,toefl
displace,取代,toefl
disputable,有争议的,toefl
disrupt,扰乱,toefl
dissent,异议,toefl
distinguish,区分,toefl
distort,歪曲,toefl
distract,分心,toefl
divulge,泄露,toefl
doctrine,教义学说,toefl
dormant,休眠的,toefl
dubious,可疑的,toefl
durable,耐久的,toefl
dynamic,动态的,toefl
eccentric,古怪的,toefl
ecological,生态的,toefl
elucidate,阐明,toefl
elusive,难以捉摸的,toefl
embark,开始着手,toefl
embody,体现,toefl
emerge,出现,toefl
eminent,卓越的,toefl
empirical,经验主义的,toefl
emulate,仿效,toefl
enchant,使着迷,toefl
encroach,侵犯,toefl
endeavor,努力尝试,toefl
endorse,支持背书,toefl
endure,忍受持久,toefl
enforce,执行,toefl
enhance,提升,toefl
enigma,谜团,toefl
enlighten,启发,toefl
enrich,充实,toefl
enroll,注册入学,toefl
ensure,确保,toefl
entail,牵涉导致,toefl
entity,实体,toefl
enumerate,列举,toefl
envisage,设想,toefl
epidemic,流行病,toefl
ephemeral,短暂的,toefl
epicenter,震中核心,toefl
