word,meaning,example,category
daunt,使气馁,The complexity of the project did not daunt her.,toefl
dearth,缺乏,There is a dearth of nurses in remote villages.,toefl
debilitate,使衰弱,Chronic stress can debilitate the immune system.,toefl
debunk,揭穿,The investigation debunked several myths about the outbreak.,toefl
decentralize,分散权力,The reform seeks to decentralize decision making.,toefl
decipher,破译,Scientists are still trying to decipher the symbols.,toefl
decrement,减少量,A small decrement in quality can hurt trust.,toefl
deduce,推断,From the data we can deduce a clear trend.,toefl
deference,敬重,He spoke with deference to senior scholars.,toefl
deflect,偏转,The spokesperson tried to deflect the criticism.,toefl
delineate,描绘,The report delineates the causes of inequality.,toefl
demarcate,划定界限,Fences demarcate the border between farms.,toefl
demean,贬低,Such jokes demean people in the workplace.,toefl
demographic,人口统计的,Demographic changes are reshaping the labor market.,toefl
denounce,谴责,Several groups denounced the policy as discriminatory.,toefl
depose,罢免,The rebels planned to depose the ruler.,toefl
deprive,剥夺,Lack of sleep can deprive students of focus.,toefl
deride,嘲笑,Critics derided the plan as unrealistic.,toefl
desolate,荒凉的,The abandoned town looked desolate in winter.,toefl
despise,鄙视,She despises corruption in public office.,toefl
destabilize,使不稳定,Rising prices may destabilize the region.,toefl
deteriorate,恶化,Air quality can deteriorate rapidly during fires.,toefl
detain,拘留,Police may detain suspects for questioning.,toefl
deter,阻止,Higher fines can deter illegal dumping.,toefl
detract,减损,Loud music can detract from the speaker's message.,toefl
devise,设计,Engineers devised a cheaper cooling system.,toefl
devolve,移交,Responsibilities will devolve to local authorities.,toefl
diagnose,诊断,Doctors quickly diagnosed the rare infection.,toefl
dictate,口述命令,Do not let fear dictate your choices.,toefl
dilute,稀释,Adding water will dilute the solution.,toefl
diminish,减少,Over time the pain began to diminish.,toefl
diplomacy,外交手腕,Quiet diplomacy prevented a major conflict.,toefl
disarray,混乱,The sudden storm threw the schedule into disarray.,toefl
discern,识别,It is hard to discern truth from rumor online.,toefl
disclaim,否认,The company disclaimed responsibility for the leak.,toefl
disclose,透露,Applicants must disclose all sources of funding.,toefl
discompose,使不安,The accusation seemed to discompose him.,toefl
discord,不和,Economic pressure created discord within the coalition.,toefl
discreet,谨慎的,She made a discreet exit after the meeting.,toefl
discriminate,区分,We must not discriminate against any applicant.,toefl
disdain,轻视,He looked at the offer with open disdain.,toefl
disintegrate,解体,Trust can disintegrate after repeated lies.,toefl
dismal,阴沉的,Sales figures were dismal this quarter.,toefl
dismantle,拆除,Workers began to dismantle the old bridge.,toefl
dispel,驱散,Clear communication can dispel unnecessary fears.,toefl
disperse,分散,The crowd began to disperse after the concert.,toefl
displace,取代,Automation may displace some routine jobs.,toefl
disputable,有争议的,His conclusion is still disputable.,toefl
disrupt,扰乱,Power cuts can disrupt hospital operations.,toefl
dissent,异议,The proposal passed despite strong dissent.,toefl
distinguish,区分,Good readers distinguish fact from opinion.,toefl
distort,歪曲,Social media can distort public debate.,toefl
distract,分心,Constant alerts distract students from study.,toefl
divulge,泄露,The witness refused to divulge her source.,toefl
doctrine,教义学说,The school adopted a strict teaching doctrine.,toefl
dormant,休眠的,The volcano has been dormant for centuries.,toefl
dubious,可疑的,His claim sounded dubious from the start.,toefl
durable,耐久的,We need durable materials for the roof.,toefl
dynamic,动态的,The city has a dynamic startup scene.,toefl
eccentric,古怪的,Her eccentric style made her memorable.,toefl
ecological,生态的,Ecological damage can last for decades.,toefl
elucidate,阐明,The professor used a chart to elucidate the theory.,toefl
elusive,难以捉摸的,A complete solution remains elusive.,toefl
embark,开始着手,The team will embark on a two year study.,toefl
embody,体现,Her work embodies patience and precision.,toefl
emerge,出现,New evidence continues to emerge.,toefl
eminent,卓越的,An eminent linguist delivered the keynote.,toefl
empirical,经验主义的,The conclusion must rest on empirical evidence.,toefl
emulate,仿效,Young players often emulate their idols.,toefl
enchant,使着迷,The old story still enchants children.,toefl
encroach,侵犯,Factories began to encroach on farmland.,toefl
endeavor,努力尝试,We should endeavor to reduce waste.,toefl
endorse,支持背书,Three unions endorsed the agreement.,toefl
endure,忍受持久,Small firms struggle to endure long recessions.,toefl
enforce,执行,Authorities promised to enforce the new rules.,toefl
enhance,提升,Better lighting can enhance classroom focus.,toefl
enigma,谜团,The disappearance remains an enigma.,toefl
enlighten,启发,Her lecture enlightened us about migration history.,toefl
